N,P,K,temperature,humidity,ph,rainfall,label
135.27,65.32,57.79,27.18,80.84,6.08,1464.47,sugarcane
82.48,45.76,79.61,23.85,72.98,6.4,729.81,onion
83.02,50.75,50.17,28.07,81.23,5.78,1434.62,rice
42.86,50.62,37.51,23.77,43.81,7.45,399.8,chickpea
91.68,56.76,65.32,26.47,74.0,5.84,1067.16,turmeric
114.0,56.46,42.23,24.12,42.5,6.65,574.89,maize
76.94,50.43,40.3,24.45,58.11,6.55,477.21,maize
87.28,45.39,47.08,28.16,82.99,5.5,1783.27,rice
128.19,41.08,64.86,24.02,78.14,6.55,1338.34,sugarcane
84.04,54.27,35.81,31.39,89.95,5.56,1663.93,rice
69.96,47.08,62.52,26.76,77.24,6.42,1235.72,turmeric
29.39,45.55,49.73,19.2,67.34,6.35,726.22,soybean
110.18,47.7,34.38,21.67,62.44,6.0,577.99,maize
95.73,41.51,41.56,28.19,79.68,6.05,1448.34,rice
98.03,77.72,68.42,20.92,62.9,6.01,558.07,tomato
30.59,51.8,51.91,25.39,61.23,6.26,500.1,soybean
26.65,49.83,38.53,27.29,36.57,6.52,304.21,chickpea
87.08,63.87,57.95,26.31,79.61,5.71,1422.82,turmeric
88.93,35.92,47.07,28.56,76.54,5.9,1737.26,rice
88.53,50.69,44.26,28.94,82.11,5.81,1543.86,rice
106.63,48.03,60.85,13.48,51.78,6.91,760.02,wheat
99.45,56.19,70.32,28.67,75.56,6.07,1256.38,turmeric
97.88,46.61,80.17,13.55,59.34,6.7,626.8,onion
27.56,57.97,46.68,24.38,60.0,5.98,711.34,soybean
54.47,38.32,43.65,29.17,63.76,7.72,838.45,mango
108.39,58.65,128.72,17.93,75.19,5.46,506.66,potato
119.81,55.74,60.39,30.19,68.41,6.79,1286.03,sugarcane
91.06,51.4,54.37,24.59,71.3,6.49,724.03,chilli
31.18,46.62,53.8,25.15,58.72,6.92,692.32,groundnut
77.51,54.01,90.81,23.42,70.24,6.66,663.51,onion
82.42,46.22,56.47,30.65,66.43,6.58,502.45,chilli
47.18,34.3,36.51,25.46,47.02,6.83,819.53,mango
115.71,97.34,112.42,22.17,76.82,5.64,590.5,potato
89.2,40.73,29.72,26.66,55.45,6.76,794.36,cotton
37.62,43.47,30.61,20.11,51.22,6.81,414.47,chickpea
88.3,38.58,42.95,26.47,85.49,6.08,1807.51,rice
90.86,49.74,71.6,25.73,81.32,6.73,568.11,onion
42.68,48.72,49.27,27.12,67.02,6.45,542.84,soybean
95.45,63.13,68.89,27.9,74.82,7.81,1236.39,turmeric
34.13,61.51,42.96,25.75,66.35,6.23,703.79,soybean
15.01,61.69,48.26,32.42,67.52,6.61,556.03,groundnut
118.68,53.73,45.93,25.09,67.41,7.0,672.52,maize
86.19,60.43,42.63,25.41,81.36,6.34,1470.81,rice
105.04,76.63,79.7,26.38,65.69,6.45,659.58,tomato
46.04,20.99,33.32,26.56,50.3,6.63,1094.59,mango
84.49,42.99,94.59,24.68,71.58,6.6,766.44,onion
73.32,47.1,73.82,25.4,76.31,6.84,1309.89,turmeric
79.4,46.36,84.46,24.81,70.86,5.89,566.38,onion
146.04,54.97,61.85,27.88,81.06,6.5,1649.06,sugarcane
82.54,47.53,39.93,26.43,79.8,6.1,1515.8,rice
82.41,43.65,43.09,22.32,63.02,6.68,453.65,maize
76.71,42.51,41.89,33.74,63.29,5.8,600.14,maize
109.56,60.81,35.97,17.4,50.32,7.03,703.15,wheat
91.26,70.27,67.98,22.14,63.39,6.55,565.61,tomato
31.88,43.81,34.86,23.59,59.7,6.72,625.99,groundnut
134.05,61.97,182.81,28.67,84.65,7.05,1045.68,banana
103.77,67.24,74.59,22.31,63.26,6.1,537.57,tomato
93.43,69.43,86.55,31.6,58.89,6.17,583.02,onion
54.32,50.03,43.66,19.45,66.32,6.73,570.43,maize
40.67,39.43,39.8,28.42,60.17,7.32,982.5,mango
99.5,97.17,137.69,16.78,77.49,5.53,545.74,potato
26.62,65.65,30.29,27.29,54.11,7.46,320.59,chickpea
75.22,58.22,50.41,23.45,64.19,6.49,550.4,chilli
160.82,55.21,185.16,25.26,82.12,6.51,1420.21,banana
123.5,52.22,59.28,29.23,78.29,6.96,1474.11,sugarcane
29.05,58.65,50.51,29.35,58.8,6.3,663.67,groundnut
118.39,86.1,78.14,27.92,61.09,6.28,608.66,tomato
