crop_name,market_name,state,price_date,min_price_per_kg,max_price_per_kg,modal_price_per_kg
rice,Synthetic Reference Market,All India,2023-07-15,19.38,22.09,20.53
rice,Synthetic Reference Market,All India,2023-07-22,18.12,20.91,19.93
rice,Synthetic Reference Market,All India,2023-07-29,18.38,22.39,20.39
rice,Synthetic Reference Market,All India,2023-08-05,18.75,20.78,19.74
rice,Synthetic Reference Market,All India,2023-08-12,17.38,20.28,18.92
rice,Synthetic Reference Market,All India,2023-08-19,17.3,19.76,18.69
rice,Synthetic Reference Market,All India,2023-08-26,16.74,19.37,18.24
rice,Synthetic Reference Market,All India,2023-09-02,17.31,20.3,18.67
rice,Synthetic Reference Market,All India,2023-09-09,17.24,19.22,18.43
rice,Synthetic Reference Market,All India,2023-09-16,16.55,18.56,17.67
rice,Synthetic Reference Market,All India,2023-09-23,16.94,19.19,18.0
rice,Synthetic Reference Market,All India,2023-09-30,16.45,19.4,18.13
rice,Synthetic Reference Market,All India,2023-10-07,17.16,20.01,18.68
rice,Synthetic Reference Market,All India,2023-10-14,16.64,18.75,17.84
rice,Synthetic Reference Market,All India,2023-10-21,17.07,19.83,18.85
rice,Synthetic Reference Market,All India,2023-10-28,16.94,19.88,18.76
rice,Synthetic Reference Market,All India,2023-11-04,17.31,19.35,18.23
rice,Synthetic Reference Market,All India,2023-11-11,17.25,20.18,18.81
rice,Synthetic Reference Market,All India,2023-11-18,17.69,21.5,19.56
rice,Synthetic Reference Market,All India,2023-11-25,18.49,20.56,19.54
rice,Synthetic Reference Market,All India,2023-12-02,19.41,21.42,20.51
rice,Synthetic Reference Market,All India,2023-12-09,19.18,21.79,20.82
rice,Synthetic Reference Market,All India,2023-12-16,19.24,21.83,20.91
rice,Synthetic Reference Market,All India,2023-12-23,19.83,22.87,21.58
rice,Synthetic Reference Market,All India,2023-12-30,20.87,23.39,21.89
rice,Synthetic Reference Market,All India,2024-01-06,20.43,24.39,22.52
rice,Synthetic Reference Market,All India,2024-01-13,21.25,24.02,22.46
rice,Synthetic Reference Market,All India,2024-01-20,21.75,24.89,23.36
rice,Synthetic Reference Market,All India,2024-01-27,21.19,24.69,23.06
rice,Synthetic Reference Market,All India,2024-02-03,22.17,24.5,23.22
rice,Synthetic Reference Market,All India,2024-02-10,22.24,25.42,24.34
rice,Synthetic Reference Market,All India,2024-02-17,21.76,24.9,23.72
rice,Synthetic Reference Market,All India,2024-02-24,23.35,25.88,24.62
rice,Synthetic Reference Market,All India,2024-03-02,23.43,26.35,24.57
rice,Synthetic Reference Market,All India,2024-03-09,22.19,25.88,24.29
rice,Synthetic Reference Market,All India,2024-03-16,23.34,26.85,24.6
rice,Synthetic Reference Market,All India,2024-03-23,22.98,26.17,24.84
rice,Synthetic Reference Market,All India,2024-03-30,22.49,26.28,24.79
rice,Synthetic Reference Market,All India,2024-04-06,23.12,26.87,24.83
rice,Synthetic Reference Market,All India,2024-04-13,23.09,27.52,25.05
rice,Synthetic Reference Market,All India,2024-04-20,21.95,24.94,23.93
rice,Synthetic Reference Market,All India,2024-04-27,23.1,26.4,24.67
rice,Synthetic Reference Market,All India,2024-05-04,22.2,26.13,24.44
rice,Synthetic Reference Market,All India,2024-05-11,23.47,25.8,24.47
rice,Synthetic Reference Market,All India,2024-05-18,22.51,26.68,24.62
rice,Synthetic Reference Market,All India,2024-05-25,22.3,26.07,24.19
rice,Synthetic Reference Market,All India,2024-06-01,21.58,25.98,23.83
rice,Synthetic Reference Market,All India,2024-06-08,22.3,25.5,24.25
rice,Synthetic Reference Market,All India,2024-06-15,21.63,23.94,23.0
rice,Synthetic Reference Market,All India,2024-06-22,20.84,23.6,22.39
rice,Synthetic Reference Market,All India,2024-06-29,20.53,23.19,21.81
rice,Synthetic Reference Market,All India,2024-07-06,21.19,23.23,22.16
rice,Synthetic Reference Market,All India,2024-07-13,20.32,23.23,21.26
rice,Synthetic Reference Market,All India,2024-07-20,19.36,22.83,21.15
rice,Synthetic Reference Market,All India,2024-07-27,19.65,22.24,21.09
rice,Synthetic Reference Market,All India,2024-08-03,19.27,23.28,21.28
rice,Synthetic Reference Market,All India,2024-08-10,18.91,21.8,20.54
rice,Synthetic Reference Market,All India,2024-08-17,19.38,22.47,20.54
rice,Synthetic Reference Market,All India,2024-08-24,18.86,21.0,20.09
rice,Synthetic Reference Market,All India,2024-08-31,18.16,21.84,19.97
rice,Synthetic Reference Market,All India,2024-09-07,17.83,20.79,19.81
rice,Synthetic Reference Market,All India,2024-09-14,17.97,20.83,19.26
rice,Synthetic Reference Market,All India,2024-09-21,17.91,20.03,19.0
rice,Synthetic Reference Market,All India,2024-09-28,18.22,21.5,19.82
rice,Synthetic Reference Market,All India,2024-10-05,18.78,21.47,19.99
rice,Synthetic Reference Market,All India,2024-10-12,17.95,21.05,19.82
rice,Synthetic Reference Market,All India,2024-10-19,18.55,20.59,19.36
rice,Synthetic Reference Market,All India,2024-10-26,18.64,21.08,19.55
rice,Synthetic Reference Market,All India,2024-11-02,18.81,21.53,20.13
rice,Synthetic Reference Market,All India,2024-11-09,19.16,22.76,21.01
rice,Synthetic Reference Market,All India,2024-11-16,19.27,22.11,20.15
rice,Synthetic Reference Market,All India,2024-11-23,20.19,22.46,21.15
rice,Synthetic Reference Market,All India,2024-11-30,20.57,23.43,21.47
rice,Synthetic Reference Market,All India,2024-12-07,19.8,22.94,21.57
rice,Synthetic Reference Market,All India,2024-12-14,19.82,23.37,21.77
rice,Synthetic Reference Market,All India,2024-12-21,21.74,24.59,22.73
rice,Synthetic Reference Market,All India,2024-12-28,20.93,24.56,22.34
rice,Synthetic Reference Market,All India,2025-01-04,21.02,24.78,23.14
rice,Synthetic Reference Market,All India,2025-01-11,22.24,25.55,23.61
rice,Synthetic Reference Market,All India,2025-01-18,22.19,25.46,24.08
rice,Synthetic Reference Market,All India,2025-01-25,23.25,26.73,24.42
rice,Synthetic Reference Market,All India,2025-02-01,23.04,26.49,24.76
rice,Synthetic Reference Market,All India,2025-02-08,23.65,27.31,25.1
rice,Synthetic Reference Market,All India,2025-02-15,24.46,27.2,25.65
rice,Synthetic Reference Market,All India,2025-02-22,23.42,26.11,25.05
rice,Synthetic Reference Market,All India,2025-03-01,23.68,27.38,25.52
rice,Synthetic Reference Market,All India,2025-03-08,23.56,27.23,26.13
rice,Synthetic Reference Market,All India,2025-03-15,23.97,26.8,25.25
rice,Synthetic Reference Market,All India,2025-03-22,24.7,27.49,26.11
rice,Synthetic Reference Market,All India,2025-03-29,24.05,26.82,25.66
rice,Synthetic Reference Market,All India,2025-04-05,24.42,28.24,26.19
rice,Synthetic Reference Market,All India,2025-04-12,24.4,28.4,25.85
rice,Synthetic Reference Market,All India,2025-04-19,23.86,26.59,25.17
rice,Synthetic Reference Market,All India,2025-04-26,24.14,27.23,26.06
rice,Synthetic Reference Market,All India,2025-05-03,24.09,27.38,26.06
rice,Synthetic Reference Market,All India,2025-05-10,23.68,27.47,26.04
rice,Synthetic Reference Market,All India,2025-05-17,24.65,27.72,26.23
rice,Synthetic Reference Market,All India,2025-05-24,24.29,27.51,25.37
rice,Synthetic Reference Market,All India,2025-05-31,23.94,27.29,25.87
rice,Synthetic Reference Market,All India,2025-06-07,23.11,27.23,25.08
rice,Synthetic Reference Market,All India,2025-06-14,22.75,25.63,24.51
rice,Synthetic Reference Market,All India,2025-06-21,22.61,25.99,24.33
rice,Synthetic Reference Market,All India,2025-06-28,21.74,25.34,23.53
rice,Synthetic Reference Market,All India,2025-07-05,21.34,23.72,22.75
rice,Synthetic Reference Market,All India,2025-07-12,21.97,25.78,23.62
rice,Synthetic Reference Market,All India,2025-07-19,20.67,23.1,22.0
rice,Synthetic Reference Market,All India,2025-07-26,20.22,24.11,22.42
rice,Synthetic Reference Market,All India,2025-08-02,20.82,23.39,21.77
rice,Synthetic Reference Market,All India,2025-08-09,20.85,24.11,22.48
rice,Synthetic Reference Market,All India,2025-08-16,20.05,22.28,20.96
rice,Synthetic Reference Market,All India,2025-08-23,19.38,22.69,21.43
rice,Synthetic Reference Market,All India,2025-08-30,19.81,21.7,20.84
rice,Synthetic Reference Market,All India,2025-09-06,18.79,22.4,20.71
rice,Synthetic Reference Market,All India,2025-09-13,19.93,23.22,21.25
rice,Synthetic Reference Market,All India,2025-09-20,19.41,22.24,21.17
rice,Synthetic Reference Market,All India,2025-09-27,19.91,22.93,21.07
rice,Synthetic Reference Market,All India,2025-10-04,19.18,22.6,20.8
rice,Synthetic Reference Market,All India,2025-10-11,19.26,22.93,20.93
rice,Synthetic Reference Market,All India,2025-10-18,19.74,22.67,20.88
rice,Synthetic Reference Market,All India,2025-10-25,19.6,23.66,21.63
rice,Synthetic Reference Market,All India,2025-11-01,20.14,23.96,21.91
rice,Synthetic Reference Market,All India,2025-11-08,19.91,22.44,21.56
rice,Synthetic Reference Market,All India,2025-11-15,21.02,23.59,21.96
rice,Synthetic Reference Market,All India,2025-11-22,20.68,23.52,22.05
rice,Synthetic Reference Market,All India,2025-11-29,20.66,23.84,21.97
rice,Synthetic Reference Market,All India,2025-12-06,21.06,24.16,22.22
rice,Synthetic Reference Market,All India,2025-12-13,20.89,24.81,23.12
rice,Synthetic Reference Market,All India,2025-12-20,21.4,25.25,23.1
rice,Synthetic Reference Market,All India,2025-12-27,21.37,25.53,23.52
